    timestep           tps         kinetic_energy  potential_energy     pressure     kinetic_temperature      volume     
     248000         1382.77956       3260.71516       1060.64200       -34.03659           2.90228           64.00000    
     249000         1383.08892       3378.97481       998.39089        -14.09279           3.00754           64.00000    
     250000         1383.40786       3539.09548       838.43860        -17.37675           3.15006           64.00000    
     251000         1383.35641       3673.37828       908.05962         30.30740           3.26958           64.00000    
     252000         1383.49329       3605.37356       963.05742         38.35793           3.20906           64.00000    
     253000         1383.50204       3372.21163       1026.65867       -20.53356           3.00152           64.00000    
     254000         1383.73566       3392.95530       913.01601        -12.60123           3.01999           64.00000    
     255000         1383.97584       3509.30794       892.87973         23.73429           3.12355           64.00000    
     256000         1384.20960       3531.00821       1141.96519       -26.53893           3.14286           64.00000    
     257000         1384.33319       3611.14146       963.56935        -16.64536           3.21419           64.00000    
     258000         1384.19580       3405.12676       1000.25270       -30.97248           3.03082           64.00000    
     259000         1384.41372       3357.12743       1047.12428       -13.86025           2.98810           64.00000    
     260000         1384.56086       3468.51107       1015.09910        49.18368           3.08724           64.00000    
     261000         1384.70495       3355.59735       1050.21934        9.63298            2.98674           64.00000    
     262000         1384.71779       3540.77580       833.56731         20.63310           3.15156           64.00000    
     263000         1384.78202       3500.78204       871.95188        -20.26384           3.11596           64.00000    
     264000         1384.78797       3379.75495       929.75402        -20.98814           3.00824           64.00000    
     265000         1384.55285       3430.09600       900.05662         13.28260           3.05304           64.00000    
     266000         1384.59896       3471.10718       969.40564         48.79819           3.08955           64.00000    
     267000         1384.64457       3397.40208       775.81789        -33.18724           3.02394           64.00000    
     268000         1384.75168       3567.55407       827.50978        -11.40919           3.17539           64.00000    
     269000         1384.77316       3399.65867       927.13415         -2.12271           3.02595           64.00000    
     270000         1384.84557       3374.20675       1114.81302       -22.54355           3.00330           64.00000    
     271000         1384.85363       3437.13000       1008.99845       -22.62757           3.05931           64.00000    
     272000         1384.62268       3450.33490       788.46299        -17.60072           3.07106           64.00000    
     273000         1384.47628       3318.91778       832.87914         1.82110            2.95409           64.00000    
     274000         1384.32858       3501.54919       695.40266         30.70272           3.11664           64.00000    
     275000         1384.22661       3426.55135       825.38974        -13.00849           3.04989           64.00000    
     276000         1384.09145       3635.76912       694.61201        -42.81527           3.23611           64.00000    
     277000         1383.93826       3629.84855       787.51693        -19.27568           3.23084           64.00000    
     278000         1383.84955       3590.38131       884.17810        -20.62297           3.19571           64.00000    
     279000         1383.53860       3227.79803       803.56281        -33.57987           2.87298           64.00000    
     280000         1383.54675       3239.22227       780.40154         -1.93073           2.88315           64.00000    
     281000         1383.59543       3357.02764       954.17995        -33.17670           2.98801           64.00000    
     282000         1383.63131       3578.55336       1018.97979        27.33016           3.18518           64.00000    
     283000         1383.70631       3506.77910       1103.83985        25.53115           3.12130           64.00000    
     284000         1383.74599       3523.43518       883.86281         8.89211            3.13612           64.00000    
     285000         1383.70071       3390.80399       810.68137        -19.25666           3.01807           64.00000    
     286000         1383.48947       3343.65133       947.15821        -20.69749           2.97610           64.00000    
     287000         1383.41552       3381.57242       1019.02952       -25.00910           3.00986           64.00000    
     288000         1383.29601       3472.45562       844.91243         62.68265           3.09075           64.00000    
     289000         1383.29863       3403.69307       896.96730         1.33859            3.02954           64.00000    
     290000         1383.38827       3396.98742       869.76240        -25.14981           3.02358           64.00000    
     291000         1383.47407       3605.88671       751.15844         22.59395           3.20951           64.00000    
     292000         1383.40864       3465.13340       956.73519         27.37637           3.08423           64.00000    
     293000         1383.27397       3665.20683       898.59702        -15.83941           3.26231           64.00000    
     294000         1383.30264       3592.76001       857.75995         -2.86350           3.19783           64.00000    
     295000         1383.26966       3496.67227       803.28352         -8.91374           3.11230           64.00000    
     296000         1383.10713       3366.35351       811.25496         -9.63573           2.99631           64.00000    
     297000         1383.08933       3472.75090       854.71966         18.52498           3.09101           64.00000    
     298000         1383.09942       3501.94542       778.29206         22.22705           3.11700           64.00000    
     299000         1382.97040       3427.04349       889.96207        -12.59239           3.05033           64.00000    
     300000         1382.87883       3560.51875       729.36419         4.99919            3.16913           64.00000    
     301000         1382.93264       3495.11956       908.29280         31.13093           3.11092           64.00000    
     302000         1383.04766       3437.85608       920.59362        -32.50488           3.05995           64.00000    
     303000         1383.17759       3386.87976       790.95943        -37.91035           3.01458           64.00000    
     304000         1383.32179       3399.95121       940.65973         14.49524           3.02621           64.00000    
     305000         1383.38982       3491.22874       964.63926        -20.05587           3.10746           64.00000    
     306000         1383.41676       3565.16121       935.12474        -37.66514           3.17326           64.00000    
     307000         1383.54878       3480.97105       967.93163        -12.29538           3.09833           64.00000    
     308000         1383.69180       3542.35277       802.59077        -43.92716           3.15296           64.00000    
     309000         1383.79986       3594.33801       799.51689        -16.56191           3.19923           64.00000    
     310000         1383.95955       3483.94550       769.02057         -6.22888           3.10098           64.00000    
     311000         1384.09855       3557.77629       885.66983         36.05064           3.16669           64.00000    
     312000         1384.24782       3570.43273       822.85814         4.54485            3.17796           64.00000    
     313000         1384.33652       3373.71224       848.05345         11.65587           3.00286           64.00000    
     314000         1384.33878       3488.46470       846.39230        -16.36366           3.10500           64.00000    
     315000         1384.51912       3625.45996       996.87975         35.83763           3.22693           64.00000    
     316000         1384.72382       3521.40917       1126.76298        23.63817           3.13432           64.00000    
     317000         1384.94062       3434.97065       1088.60271        -8.93998           3.05738           64.00000    
     318000         1385.14136       3528.71100       841.72206        -17.11777           3.14082           64.00000    
     319000         1385.29183       3475.17138       854.98992        -40.28021           3.09317           64.00000    
     320000         1385.30988       3332.86056       891.65335        -30.95374           2.96650           64.00000    
     321000         1385.26707       3544.06174       804.46457         41.93818           3.15448           64.00000    
     322000         1385.36091       3574.58216       822.16495         24.30271           3.18165           64.00000    
     323000         1385.34847       3389.18563       843.47270         7.82696            3.01663           64.00000    
     324000         1385.49103       3363.63523       887.70192         37.27524           2.99389           64.00000    
     325000         1385.58298       3418.85985       925.51896         48.54182           3.04304           64.00000    
     326000         1385.62343       3346.02642       968.23058        -18.41159           2.97822           64.00000    
     327000         1385.60676       3417.62248       935.46473         24.28351           3.04194           64.00000    
     328000         1385.53983       3427.98008       745.85121         20.42936           3.05116           64.00000    
     329000         1385.55893       3379.25157       860.43369         -5.39838           3.00779           64.00000    
     330000         1385.60474       3435.28615       819.58629         3.25047            3.05766           64.00000    
     331000         1385.68613       3539.30223       996.23824         50.07147           3.15025           64.00000    
     332000         1385.75948       3625.31465       915.75276         17.99474           3.22680           64.00000    
     333000         1385.88774       3310.01813       974.11439        -22.85015           2.94617           64.00000    
     334000         1385.97439       3259.04019       913.87473        -21.76843           2.90079           64.00000    
     335000         1385.91427       3464.12480       859.04922        -33.75436           3.08333           64.00000    
     336000         1385.98387       3682.34125       891.07716         9.37862            3.27756           64.00000    
     337000         1386.05532       3541.98218       855.42042        -18.68797           3.15263           64.00000    
     338000         1386.06255       3314.98848       749.27993        -54.56978           2.95059           64.00000    
     339000         1386.10647       3272.98897       941.91260        -28.80834           2.91321           64.00000    
     340000         1386.21036       3471.47333       931.77406        -24.60391           3.08987           64.00000    
     341000         1386.16743       3622.26665       1059.71018       -31.54356           3.22409           64.00000    
     342000         1386.07456       3701.12678       1038.48001        15.58128           3.29428           64.00000    
     343000         1386.12602       3546.00565       786.43105         2.00675            3.15621           64.00000    
     344000         1386.17884       3335.15643       911.74238        -11.23799           2.96854           64.00000    
     345000         1386.25296       3434.88571       844.92212         5.58542            3.05731           64.00000    
     346000         1386.32513       3449.39851       905.12409         -6.12923           3.07023           64.00000    
     347000         1386.37369       3375.98272       904.07073        -38.08657           3.00488           64.00000    
     348000         1386.40228       3501.74591       935.43953         12.92427           3.11682           64.00000    
     349000         1386.24257       3459.91595       974.81356         5.21168            3.07959           64.00000    
     350000         1386.23030       3520.87269       801.53220         -2.17046           3.13384           64.00000    
     351000         1386.15750       3462.02105       873.02142         52.14610           3.08146           64.00000    
     352000         1386.09514       3343.90553       748.61231        -27.85792           2.97633           64.00000    
     353000         1386.03840       3392.21825       768.83906         0.62345            3.01933           64.00000    
     354000         1386.06041       3631.60342       851.02325        -20.36557           3.23240           64.00000    
     355000         1386.02660       3550.84337       1002.14001       -11.33857           3.16052           64.00000    
     356000         1386.02181       3341.70794       958.69404         18.12947           2.97437           64.00000    
     357000         1386.01664       3340.06971       900.23800        -19.77075           2.97291           64.00000    
     358000         1385.96500       3475.84096       896.38232        -41.35336           3.09376           64.00000    
     359000         1386.01644       3592.80885       782.39119         -9.73604           3.19787           64.00000    
     360000         1386.10783       3357.70554       1010.28870        15.10516           2.98861           64.00000    
